Date,Portfolio,Cumulative Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Max Drawdown
2019-05-13,SA/BF (古典絕對最佳),-0.80%,-7.05%,23.06%,-0.39,-10.24%
2019-05-13,QAOA (IBM真機/硬體雜訊),-1.00%,-8.68%,26.77%,-0.40,-10.64%
2019-06-19,SA/BF (古典絕對最佳),12.07%,140.16%,25.27%,5.47,-3.85%
2019-06-19,QAOA (IBM真機/硬體雜訊),6.86%,81.19%,17.21%,4.60,-2.00%
2019-06-24,SA/BF (古典絕對最佳),6.63%,79.64%,23.07%,3.37,-5.48%
2019-06-24,QAOA (IBM真機/硬體雜訊),10.04%,116.78%,19.17%,5.99,-2.91%
2020-03-04,SA/BF (古典絕對最佳),-19.66%,-236.78%,71.71%,-3.33,-34.22%
2020-03-04,QAOA (IBM真機/硬體雜訊),-15.19%,-179.05%,61.82%,-2.93,-26.16%
2026-04-08,SA/BF (古典絕對最佳),42.70%,436.58%,36.56%,11.89,-3.11%
2026-04-08,QAOA (IBM真機/硬體雜訊),31.46%,339.74%,44.63%,7.57,-7.37%
