Date,Portfolio,Method,Selected Tickers,Valid Tickers,Trading Days,Cumulative Return,Ann. Volatility,Max Drawdown,Sharpe Ratio,Violations,Zero Violation,Execution Time (s)
2019-05-13,Brute Force,窮舉法,"ASML, 6488.TWO, 8035.T, 000660.KS","ASML, 6488.TWO, 8035.T, 000660.KS",20,-4.38%,21.92%,-10.56%,-2.56,0,Yes,0.006
2019-05-13,QAOA (Ideal),理想模擬,"QCOM, 3711.TW, 6857.T, 000660.KS","QCOM, 3711.TW, 6857.T, 000660.KS",20,-9.14%,28.04%,-16.48%,-4.24,1,No,3.24
2019-05-13,QAOA (Noisy),雜訊模擬,"QCOM, 6488.TWO, 6857.T, 042700.KS","QCOM, 6488.TWO, 6857.T, 042700.KS",20,-7.58%,34.52%,-16.73%,-2.76,1,No,656.39
2019-05-13,QAOA (IBM Real),真實量子電腦,"QCOM, 2330.TW, 2454.TW, 6857.T, 042700.KS","QCOM, 2330.TW, 2454.TW, 6857.T, 042700.KS",20,-3.64%,26.82%,-13.53%,-1.69,4,No,31.97
2019-06-19,Brute Force,窮舉法,"AMAT, 6488.TWO, 4063.T, 042700.KS","AMAT, 6488.TWO, 4063.T, 042700.KS",20,4.86%,21.54%,-5.56%,2.79,0,Yes,0.009
2019-06-19,QAOA (Ideal),理想模擬,"ASML, 6488.TWO, 4063.T, 042700.KS","ASML, 6488.TWO, 4063.T, 042700.KS",20,5.34%,22.21%,-6.00%,2.97,0,Yes,5.62
2019-06-19,QAOA (Noisy),雜訊模擬,"ASML, 2330.TW, 4063.T, 005930.KS","ASML, 2330.TW, 4063.T, 005930.KS",20,6.07%,17.03%,-4.47%,4.33,1,No,727.00
2019-06-19,QAOA (IBM Real),真實量子電腦,"ASML, 2330.TW, 3711.TW, 4063.T, 005930.KS, 000660.KS","ASML, 2330.TW, 3711.TW, 4063.T, 005930.KS, 000660.KS",20,7.47%,20.23%,-4.05%,4.49,5,No,32.41
2019-06-24,Brute Force,窮舉法,"ASML, 6488.TWO, 4063.T, 042700.KS","ASML, 6488.TWO, 4063.T, 042700.KS",20,5.36%,22.56%,-6.00%,2.94,0,Yes,0.009
2019-06-24,QAOA (Ideal),理想模擬,"QCOM, 3711.TW, 8035.T, 042700.KS","QCOM, 3711.TW, 8035.T, 042700.KS",20,6.17%,24.40%,-4.34%,3.13,1,No,1.79
2019-06-24,QAOA (Noisy),雜訊模擬,"ASML, 2330.TW, 4063.T, 000660.KS","ASML, 2330.TW, 4063.T, 000660.KS",20,10.45%,19.52%,-3.85%,6.42,1,No,272.15
2019-06-24,QAOA (IBM Real),真實量子電腦,"AMD, QCOM, 2330.TW, 8035.T, 000660.KS","AMD, QCOM, 2330.TW, 8035.T, 000660.KS",20,11.52%,18.64%,-1.70%,7.37,4,No,32.17
2020-03-04,Brute Force,窮舉法,"ASML, 2454.TW, 6857.T, 042700.KS","ASML, 2454.TW, 6857.T, 042700.KS",20,-18.18%,76.45%,-33.54%,-2.95,0,Yes,0.007
2020-03-04,QAOA (Ideal),理想模擬,"AMAT, 3711.TW, 6857.T, 000660.KS","AMAT, 3711.TW, 6857.T, 000660.KS",20,-21.02%,76.23%,-31.15%,-3.54,0,Yes,1.75
2020-03-04,QAOA (Noisy),雜訊模擬,"ASML, 2330.TW, 6857.T, 042700.KS","ASML, 2330.TW, 6857.T, 042700.KS",20,-19.21%,71.49%,-32.09%,-3.43,1,No,429.60
2020-03-04,QAOA (IBM Real),真實量子電腦,"AMD, AMAT, 4063.T","AMD, AMAT, 4063.T",20,-16.69%,96.15%,-26.24%,-1.94,5,No,32.00
2026-04-27,Brute Force,窮舉法,"ASML, 3711.TW, 8035.T, 000660.KS","ASML, 3711.TW, 8035.T, 000660.KS",2,-2.03%,14.51%,-0.37%,-17.86,0,Yes,0.007
2026-04-27,QAOA (Ideal),理想模擬,"ASML, 6488.TWO, 8035.T, 000660.KS","ASML, 6488.TWO, 8035.T, 000660.KS",2,-5.13%,15.31%,-1.91%,-42.87,0,Yes,5.34
2026-04-27,QAOA (Noisy),雜訊模擬,"QCOM, 3711.TW, 4063.T, 000660.KS","QCOM, 3711.TW, 4063.T, 000660.KS",2,1.09%,2.06%,0.00%,65.66,1,No,986.68
2026-04-27,QAOA (IBM Real),真實量子電腦,"QCOM, AMAT, 8035.T, 6857.T, 042700.KS","QCOM, AMAT, 8035.T, 6857.T, 042700.KS",2,-3.11%,42.03%,0.00%,-9.33,5,No,32.29
